"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
016f69a7-f8eb-43eb-8760-b5ba57f4439d,a1d22532-27d5-4c5d-9dd8-ffbddc328fbd,75000.0,2024-08-04,"#N/A","#N/A",Pipeline,false,"#N/A",Browsedrive - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0196e27f-016b-41eb-9168-d688b6b23b9d,71380217-6fe7-4fae-bf50-646258373013,29995.0,2024-01-17,ffed9717-6e0c-4f19-bf21-b7218500d065,"#N/A",Closed,false,"#N/A",Buzzbean - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
01e107ee-6795-44ea-9607-ad1460aaffbe,710d6c62-80c6-4365-92a7-c606b322436a,75000.0,2024-08-04,"#N/A","#N/A",Pipeline,false,"#N/A",Babblestorm - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
0201cc8e-b480-4025-8b45-b79953f24d6d,6dec60b7-7f75-40a5-b0bb-8e608fb05891,73995.0,2024-06-06,"#N/A","#N/A",Pipeline,false,"#N/A",Lazzy - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
02f953df-4ead-4682-bc66-70843d1991ff,318f8995-79ce-4d24-aa2f-078615f83231,32395.00000002,2024-05-29,"#N/A","#N/A",Closed,false,"#N/A",Realcube - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
03756db4-96fe-4d40-b8e7-663ca961b41c,a5566fd1-1242-4470-b5c2-fc5c64a3a863,100082.0,2024-08-04,"#N/A","#N/A",Pipeline,false,"#N/A",Skyba - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
038ebfc3-134d-4063-b0f6-491e08d007cb,18973a35-a6a4-4677-80bd-9e68134f50b6,72395.0,2023-11-16,"#N/A","#N/A",Omitted,false,"#N/A",Centimia - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0403a615-bdf6-4292-905c-d735f5659a22,ab64517f-1f3b-47a7-a1fd-8ecea56da292,72395.0,2023-11-16,"#N/A","#N/A",Omitted,false,"#N/A",Eidelr-Ashpool - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
043c26ff-a210-49ea-a77e-3fdb64d657fe,106c6e97-f1b8-4550-9af5-3bb6a8581601,18050.0,2024-06-14,"#N/A","#N/A",Pipeline,false,"#N/A",Gabtype - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
045abd6c-cfb6-476c-a158-95ded7a3743d,5e218fe8-7150-425f-8959-0f571da748ca,32395.00000002,2024-05-29,"#N/A","#N/A",Closed,false,"#N/A",Babbleopia - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
04e15693-2d46-4efa-b825-6bebe6383a64,34358351-a3dd-4cbf-b704-5592c334f51a,29995.0,2024-01-17,"#N/A","#N/A",Closed,false,"#N/A",Oodoo - Additional Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
04fdbb57-8e29-4ca8-91e6-5ad4ea027724,438a418c-876f-451f-8dca-10bd30b33323,31495.0,2024-03-18,"#N/A","#N/A",Pipeline,false,"#N/A",Tazz - Additional Sale,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
